Posted Date,Reference Number,Payee,Address,Amount,Category
6/1/2016,24247606152300442350499,KURE JUICE BAR PORTLAND OR,PORTLAND      OR ,-7.25,Travel
6/1/2016,24692166152000930603772,UBER TECHNOLOGIES INC 866-576-1039 CA,866-576-1039  CA ,-12.62,Travel
6/3/2016,,PAYMENT DIRECT DEBIT - THANK YOU,,21.18,
6/3/2016,15506005720005979679143,Online payment from SAV 9,,1237.07,
6/3/2016,24692166155000328495150,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-10.29,
6/3/2016,24692166154000915206755,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-10.89,
6/6/2016,24122476157900012700370,MUSIC TUNNEL KTV CAFE SAN JOSE CA,SAN JOSE      CA ,-164,Entertainment
6/6/2016,24692166156000333318875,SQ *FOSTER CITY QUICKLY Foster City CA,Foster City   CA ,-6.93,Food
6/8/2016,24692166159000949006051,Amazon.com AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-55.24,
6/8/2016,24013396159000864030032,FOOTHILL DAILY PARKING MELOS ALTOS HILCA,LOS ALTOS HIL CA ,-3,Gas
6/8/2016,24692166159000751287849,NETFLIX.COM NETFLIX.COM CA,NETFLIX.COM   CA ,-7.99,Entertainment
6/10/2016,24492156162719548202757,UBER JUN09 US Z2LKR HELP.UBER.COMCA,HELP.UBER.COM CA ,-4.83,Gas
6/13/2016,24512396165485900060051,SANTA RAMEN SAN MATEO CA,SAN MATEO     CA ,-23,Food
6/14/2016,24492156166740270846955,SQ *T4 PALO ALTO CA,PALO ALTO     CA ,-3.81,Food
6/15/2016,24323606166993253419105,PARIS BAGUETTE AMERICA PALO ALTO CA,PALO ALTO     CA ,-2.45,Food
6/16/2016,24301376167118000191808,CRUNCHRETAIL210 REDWOOD CITY CA,REDWOOD CITY  CA ,-4.5,Food
6/16/2016,24492156167740279569342,SQ *SPREAD'Z SAN FRANCISCOCA,SAN FRANCISCO CA ,-5.43,Food
6/16/2016,24692166167000041543811,TMOBILE*AUTO PAY 800-937-8997 WA,800-937-8997  WA ,-181.21,
6/17/2016,24492156169740293523505,SQ *T4 PALO ALTO CA,PALO ALTO     CA ,-3.81,Food
6/17/2016,24692166168000781300736,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-12.99,
6/17/2016,24692166168000738373364,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-14.16,
6/17/2016,24316056168548642003088,SHELL OIL 57444214407 REDWOOD CITY CA,REDWOOD CITY  CA ,-38.2,Gas
6/18/2016,24765016169034705391693,ROLIROTI OAKLAND CA,OAKLAND       CA ,-9.5,Food
6/20/2016,24122596171701511269900,KOKKO SAN MATEO CA,SAN MATEO     CA ,-220,Food
6/20/2016,24721936171900012568629,LILY'S CREPERIE SAN MATEO CA,SAN MATEO     CA ,-21.5,Food
6/20/2016,24492156170740307847384,SQ *T4 PALO ALTO CA,PALO ALTO     CA ,-4.35,Food
6/21/2016,24755426172161721869358,STATE OF CALIF DMV INT SC800-7770133 CA,800-7770133   CA ,-131,Misc
6/23/2016,24492156174713803723223,WISH.COM 415-503-3654 CA,415-503-3654  CA ,-2.85,Shopping
6/23/2016,24692166174000041722481,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-11.3,Shopping
6/29/2016,24492156181740220219411,SQ *T4 PALO ALTO CA,PALO ALTO     CA ,-8.18,Food
