Posted Date,Reference Number,Payee,Address,Amount,Category
5/2/2016,24231686122206188002409,85C BAKERY CAFE USA SAN JOSE CA,SAN JOSE      CA ,-3.92,Food
5/2/2016,24736936121004168918540,KAHOO RAMEN SAN JOSE CA,SAN JOSE      CA ,-23,Food
5/2/2016,24492156121719681349423,UBER TECHNOLOGIES INC 866-576-1039 CA,866-576-1039  CA ,-4.75,Gas
5/3/2016,24445006124600182089878,WALGREENS #7044 SAN FRANCISCOCA,SAN FRANCISCO CA ,-0.69,Food
5/3/2016,24692166123000945570079,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-42.99,Food
5/4/2016,24445006125600178623622,WALGREENS #7044 SAN FRANCISCOCA,SAN FRANCISCO CA ,-0.69,Food
5/4/2016,24445006124200096141558,CLIPPER SERVICE #3030 PALO ALTO CA,PALO ALTO     CA ,-190.8,Gas
5/7/2016,24692166127000296236078,Amazon.com AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-38.01,Misc
5/9/2016,24013396129001106840334,TASTY PEARL CAFE LLC MILLBRAE CA,MILLBRAE      CA ,-13,Food
5/9/2016,24692166129000500912074,CHEVRON 0091035 MILLBRAE CA,MILLBRAE      CA ,-38.48,Gas
5/9/2016,24906416128025891626019,Netflix.com 866-5797172 CA,866-5797172   CA ,-7.99,Entertainment
5/9/2016,24692166128000008541848,UBER TECHNOLOGIES INC 866-576-1039 CA,866-576-1039  CA ,-4.75,Gas
5/9/2016,,Treated Bear,,-30,Food
5/9/2016,,Movie,,-12,Entertainment
5/9/2016,,Egg Puff,,-6,Food
5/10/2016,24445006131600176235256,WALGREENS #7044 SAN FRANCISCOCA,SAN FRANCISCO CA ,-4.87,Food
5/10/2016,24492156130740315114156,SQ *SHARETEA METREO SAN FRANCISCOCA,SAN FRANCISCO CA ,-5,Food
5/10/2016,24431066130207567301308,CHEF YANG'S BBQ CUPERTINO CA,CUPERTINO     CA ,-17,Food
5/11/2016,24013396131001304048694,FOOTHILL DAILY PARKING MELOS ALTOS HILCA,LOS ALTOS HIL CA ,-3,Gas
5/12/2016,24122476132900012700677,JING JING RESTAURANT PALO ALTO CA,PALO ALTO     CA ,-10.88,Food
5/15/2016,,Thai,,-10,Food
5/16/2016,24692166136000281922814,TMOBILE*AUTO PAY 800-937-8997 WA,800-937-8997  WA ,-35.13,
5/16/2016,24692166136000181510636,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-6.38,Food
5/16/2016,24445006136000474165088,CVS/PHARMACY #09915 PALO ALTO CA,PALO ALTO     CA ,-3.47,Food
5/16/2016,24692166135000957628555,ALLSTATE NBINDCO 800-255-7828 IL,800-255-7828  IL ,-336.9,Insurance
5/17/2016,24721936137900018859108,LILY'S CREPERIE SAN MATEO CA,SAN MATEO     CA ,-23.19,Food
5/18/2016,,GSW,,-180.58,Entertainment
5/19/2016,,Toll,,-2.5,Gas
5/20/2016,24692166140000449250979,APL* ITUNES.COM/BILL 866-712-7753 CA,866-712-7753  CA ,-0.99,Entertainment
5/20/2016,24431066140083311667189,AMAZON.COM AMZN.COM/BILL AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-27.24,
5/21/2016,,Pasta,,-13,Food
5/21/2016,,Treasure Island,,-5.33,Food
5/22/2016,,Pool,,-3.46,Entertainment
5/23/2016,24427336142720067433495,MCDONALD'S F34947 PALO ALTO CA,PALO ALTO     CA ,-3.58,Food
5/23/2016,24692166143000803930015,CHEVRON 0091374 REDWOOD CITY CA,REDWOOD CITY  CA ,-35.96,Gas
5/24/2016,24692166145000935541266,Amazon.com AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-27.24,
5/24/2016,,Udon,,-10.06,Food
5/25/2016,,Sushi,,-16.5,Food
5/26/2016,24692166147000999590256,STARBUCKS #05844 SAN MATESan Mateo CA,San Mateo     CA ,-2.95,Food
5/27/2016,,Spotify,,-2.5,Entertainment
5/28/2016,24692166148000871980681,BLIZZARD ENT*ONL STORE 800-592-5499 CA,800-592-5499  CA ,-39.99,Entertainment
5/28/2016,24323006148286017500278,MARDINI DELI CAFE MENLO PARK CA,MENLO PARK    CA ,-9.8,Food
5/30/2016,24692166151000088716534,STARBUCKS #00413 PORTLANDPortland OR,Portland      OR ,-2.95,Travel
5/30/2016,24717056150171504917355,CTY CTR PARKNG 0610270U PORTLAND OR,PORTLAND      OR ,-5,Travel
5/30/2016,24492156150719317415287,UBER TECHNOLOGIES INC 866-576-1039 CA,866-576-1039  CA ,-5,Travel
5/30/2016,24431056149207988501072,BURGER JOINT SAN FRANCISCOCA,SAN FRANCISCO CA ,-9.95,Food
5/31/2016,24299106151004106201043,7-ELEVEN 14502 PORTLAND OR,PORTLAND      OR ,-3.89,Travel
