Posted Date,Reference Number,Payee,Address,Amount,Category
9/7/2016,24299106250000789059807,7-ELEVEN 18584 PALO ALTO CA,PALO ALTO     CA ,-2.18,Food
9/8/2016,24692166251000295087876,NETFLIX.COM NETFLIX.COM CA,NETFLIX.COM   CA ,-9.99,Entertainment
9/8/2016,24692166251000187757685,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-15.08,Shopping
9/9/2016,24445006253600156981152,WALGREENS #7044 SAN FRANCISCOCA,SAN FRANCISCO CA ,-7.48,Food
9/16/2016,24692166259000772857926,TMOBILE*AUTO PAY 800-937-8997 WA,800-937-8997  WA ,-178.98,
9/20/2016,24492156264719852630129,UBER US SEP19 XVGDS HELP.UBER.COMCA,HELP.UBER.COM CA ,-2.38,Gas
9/22/2016,24269796266000691131997,YANK SING - SPEAR ST SAN FRANCISCOCA,SAN FRANCISCO CA ,-10.01,Food
9/23/2016,24164076266221013462711,SAFEWAY STORE 00027193 MENLO PARK CA,MENLO PARK    CA ,-26.34,Food
9/24/2016,24122476267900016200788,JING JING RESTAURANT PALO ALTO CA,PALO ALTO     CA ,-10.88,Food
9/28/2016,24692166271000519394229,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-10.99,Shopping
9/28/2016,24431066271083756601249,AMAZON.COM AMZN.COM/BILL AMZN.COM/BILLWA,AMZN.COM/BILL WA ,-146.97,Shopping
