Type,Trans Date,Posted Date,Payee,Amount,Category,Memo
Sale,8/1/2016,8/2/2016,PANDA EXPRESS #1865,-15.91,Food,null
Sale,8/1/2016,8/2/2016,TOKYO EXPRESS,-8.69,Food,null
Sale,8/1/2016,8/2/2016,SQ *SPREAD'Z,-5.43,Food,null
Sale,8/3/2016,8/4/2016,SQ *SPREAD'Z,-4.89,Food,null
Sale,8/3/2016,8/4/2016,SORABOL RINCON LLC,-9.79,Food,null
Sale,8/4/2016,8/5/2016,CHEESECAKE SAN JOSE,-72,Food,null
Sale,8/4/2016,8/5/2016,SQ *SPREAD'Z,-4.34,Food,null
Sale,8/4/2016,8/5/2016,YANK SING - SPEAR ST,-9.08,Food,null
Sale,8/6/2016,8/7/2016,COSTCO WHSE #0147,-2.17,Food,null
Sale,8/6/2016,8/8/2016,SHALALA,-29,Food,null
Sale,8/8/2016,8/10/2016,SQ *LOS COMPADRES,-8.45,Food,null
Sale,8/8/2016,8/9/2016,SQ *SPREAD'Z,-4.34,Food,null
Sale,8/8/2016,8/10/2016,MCDONALD'S F25758,-12.08,Food,null
Sale,8/10/2016,8/11/2016,RAINBOW PIZZA,-13.1,Food,null
Sale,8/10/2016,8/12/2016,HABIT-REDWOODCITY #143,-9.05,Food,null
Sale,8/11/2016,8/12/2016,SORABOL RINCON LLC,-9.79,Food,null
Sale,8/11/2016,8/14/2016,JING JING RESTAURANT,-10.88,Food,null
Sale,8/12/2016,8/14/2016,PEET'S TEST ACCOUNT,-4.62,Food,null
Payment,8/12/2016,8/12/2016,AUTOMATIC PAYMENT - THANK,105.5,,null
Sale,8/12/2016,8/14/2016,STONE KOREAN KITCHEN,-50.59,Food,null
Sale,8/14/2016,8/16/2016,KANPAI,-40.89,Food,null
Sale,8/14/2016,8/15/2016,MY THAI CUISINE INC,-126,Food,null
Sale,8/15/2016,8/16/2016,SANTA RAMEN,-25,Food,null
Sale,8/16/2016,8/17/2016,SUSHI KINTA,-10.45,Food,null
Sale,8/17/2016,8/18/2016,FASHION WOK,-60,Food,null
Sale,8/17/2016,8/18/2016,YANK SING - SPEAR ST,-10.01,Food,null
Sale,8/18/2016,8/21/2016,YOPPI FROZEN YOGURT,-2.3,Food,null
Sale,8/18/2016,8/19/2016,CKE*FISH'S WILD FISH GRIL,-21.34,Food,null
Sale,8/18/2016,8/19/2016,MCDONALD'S F15473,-8.8,Food,null
Sale,8/19/2016,8/21/2016,LYFT   *RIDE FRI 6PM,-8.1,Gas,null
Sale,8/19/2016,8/21/2016,SUPER DUPER BURGER,-4.35,Food,null
Sale,8/21/2016,8/23/2016,SUMIKA,-119,Food,null
Sale,8/22/2016,8/23/2016,TOKYO EXPRESS,-9.69,Food,null
Sale,8/22/2016,8/23/2016,SQ *SPREAD'Z,-5.43,Food,null
Sale,8/23/2016,8/24/2016,CHEESECAKE PALO ALTO,-17.94,Food,null
Sale,8/24/2016,8/25/2016,SQ *SPREAD'Z,-4.34,Food,null
Sale,8/25/2016,8/26/2016,YANK SING - SPEAR ST,-10.01,Food,null
Sale,8/26/2016,8/28/2016,STARBUCKS STORE 00658,-3.45,Food,null
Sale,8/26/2016,8/28/2016,EATSA,-4.46,Food,null
Sale,8/27/2016,8/28/2016,SQ *T4,-4.25,Food,null
Sale,8/27/2016,8/28/2016,SUSHIRITTO MARKET,-12,Food,null
Sale,8/28/2016,8/29/2016,KEMURI JAPANESE BARU,-76.2,Food,null
Sale,8/29/2016,8/31/2016,HABIT-SAN MATEO #50,-18.35,Food,null
Sale,8/30/2016,8/31/2016,SQ *SPREAD'Z,-4.34,Food,null
Sale,8/31/2016,9/2/2016,YUGEN,-28,Food,null
Sale,8/31/2016,9/2/2016,PARIS BAGUETTE AMERICA,-2.45,Food,null
