Type,Trans Date,Posted Date,Payee,Amount,Category,Memo
Sale,7/11/2016,7/12/2016,YANK SING - SPEAR ST,-9.52,Food,null
Sale,7/13/2016,7/14/2016,TOKYO EXPRESS,-10.06,Food,null
Sale,7/13/2016,7/14/2016,TOKYO EXPRESS,-9.78,Food,null
Sale,7/13/2016,7/14/2016,AMAZON MKTPLACE PMTS,-23.91,Entertainment,null
Payment,7/13/2016,7/13/2016,AUTOMATIC PAYMENT - THANK,66.89,,null
Sale,7/13/2016,7/14/2016,MCDONALD'S F17728,-1.51,Food,null
Sale,7/13/2016,7/14/2016,AMAZON MKTPLACE PMTS,-30.99,Food,null
Sale,7/14/2016,7/15/2016,SQ *SENOR SISIG,-11.74,Food,null
Sale,7/15/2016,7/18/2016,SORABOL_RINCON CENTER,-9.79,Food,null
Sale,7/15/2016,7/17/2016,COSTCO WHSE #0147,-2.73,Food,null
Sale,7/16/2016,7/18/2016,DAN IZAKAYA RESTAURANT,-72,Food,null
Sale,7/17/2016,7/18/2016,AROY THAI BISTRO,-16.68,Food,null
Sale,7/17/2016,7/19/2016,HABIT-REDWOODCITY #143,-16.57,Food,null
Sale,7/18/2016,7/20/2016,TOKYO EXPRESS,-8.69,Food,null
Sale,7/19/2016,7/20/2016,SQ *SPREAD'Z,-4.34,Food,null
Sale,7/19/2016,7/19/2016,LITTLE SHEEP MONGOLIAN,-124.2,Food,null
Sale,7/20/2016,7/21/2016,YANK SING - SPEAR ST,-9.52,Food,null
Sale,7/20/2016,7/21/2016,Amazon.com,-10.48,,null
Sale,7/20/2016,7/20/2016,SUSHIRITTO MARKET,-12,Food,null
Sale,7/20/2016,7/21/2016,SHALALA,-57,Food,null
Sale,7/21/2016,7/22/2016,COSTCO WHSE #1042,-5.01,Food,null
Sale,7/21/2016,7/22/2016,Amazon.com,-11.43,Shopping,null
Sale,7/21/2016,7/22/2016,Amazon.com,-9.58,,null
Sale,7/24/2016,7/25/2016,WAL-MART #2280,-4.5,Food,null
Sale,7/25/2016,7/26/2016,SQ *SPREAD'Z,-5.43,Food,null
Sale,7/25/2016,7/26/2016,TOKYO EXPRESS,-8.69,Food,null
Sale,7/25/2016,7/26/2016,WALGREENS #7044,-1.99,Food,null
Sale,7/26/2016,7/27/2016,SQ *SPREAD'Z,-5.43,Food,null
Sale,7/27/2016,7/29/2016,JING JING RESTAURANT,-10.88,Food,null
Sale,7/28/2016,7/29/2016,WALGREENS #7044,-1.18,Food,null
Sale,7/28/2016,7/29/2016,WAL-MART #2280,-8.12,Food,null
Sale,7/29/2016,7/31/2016,SQ *EGGETTES SAN MATEO,-3,Food,null
Sale,7/29/2016,7/31/2016,PHO AVENUE,-28,Food,null
Sale,7/29/2016,7/31/2016,SUPER DUPER BURGER,-10.7,Food,null
Sale,7/29/2016,7/29/2016,SUSHIRITTO MARKET,-12,Food,null
Sale,7/30/2016,7/31/2016,MENYA INSHOU,-26,Food,null
Sale,7/30/2016,7/31/2016,COSTCO WHSE #0147,-7.38,Food,null
Sale,7/31/2016,8/1/2016,INSHOU JAPANESE FUSION RE,-62,Food,null
Sale,7/31/2016,8/2/2016,PARIS BAGUETTE AMERICA,-2.3,Food,null
Sale,7/31/2016,8/2/2016,IN-N-OUT BURGER #129,-7.78,Food,null
Sale,7/31/2016,8/1/2016,SHALALA,-60,Food,null
