Type,Trans Date,Posted Date,Payee,Amount,Category,Memo
Sale,9/1/2016,9/2/2016,SQ *SPREAD'Z,-5.43,Food,null
Sale,9/1/2016,9/2/2016,HONG KEE AND KIM,-11.8,Food,null
Sale,9/3/2016,9/4/2016,SUSHIRITTO MARKET,-12,Food,null
Sale,9/4/2016,9/5/2016,KCT FS-VENUS CAFE,-24,Food,null
Sale,9/5/2016,9/7/2016,HABIT-REDWOODCITY #143,-10.9,Food,null
Sale,9/5/2016,9/6/2016,T4 CAFE,-7.1,Food,null
Sale,9/5/2016,9/6/2016,RAMEN YAMADAYA SAN FRAN,-54,Food,null
Sale,9/7/2016,9/8/2016,SORABOL RINCON LLC,-9.79,Food,null
Sale,9/7/2016,9/8/2016,SQ *SPREAD'Z,-4.34,Food,null
Sale,9/8/2016,9/9/2016,TOKYO EXPRESS,-10.06,Food,null
Sale,9/8/2016,9/9/2016,SQ *SPREAD'Z,-5.43,Food,null
Sale,9/9/2016,9/11/2016,SQ *SPREAD'Z,-5.43,Food,null
Sale,9/9/2016,9/11/2016,MCDONALD'S F15473,-5.64,Food,null
Sale,9/12/2016,9/13/2016,WORKING GIRLS CAFE #3,-5.38,Food,null
Sale,9/12/2016,9/14/2016,JING JING RESTAURANT,-10.88,Food,null
Sale,9/12/2016,9/13/2016,TOKYO EXPRESS,-8.69,Food,null
Sale,9/13/2016,9/14/2016,POKELOVE,-12.05,Food,null
Payment,9/13/2016,9/13/2016,AUTOMATIC PAYMENT - THANK,1111.49,,null
Sale,9/14/2016,9/15/2016,SQ *SPREAD'Z,-5.43,Food,null
Sale,9/14/2016,9/16/2016,CAFE VENUE,-11.21,Food,null
Sale,9/15/2016,9/16/2016,CHIPOTLE 1566,-8.32,Food,null
Sale,9/15/2016,9/18/2016,STARBUCKS STORE 00658,-3.45,Food,null
Sale,9/16/2016,9/18/2016,IKEA EAST PALO ALTO,-9,Food,null
Sale,9/19/2016,9/20/2016,WALGREENS #7044,-3.29,Food,null
Sale,9/19/2016,9/20/2016,SUPER DUPER BURGER,-4.45,Food,null
Sale,9/19/2016,9/19/2016,I DUMPLING,-16.84,Food,null
Sale,9/19/2016,9/20/2016,TOKYO EXPRESS,-8.69,Food,null
Sale,9/20/2016,9/22/2016,KANPAI,-11.42,Food,null
